wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
481.179,,,,,,,,,,0.356889,,,,,,,,,,,,,,,,,,,,,,,,,,
481.2,,,0.00670438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482.19,,,,,,,,,,0.596681,,,,,,,,,,,,,,,,,,,,,,,,,,
482.2,,,0.0034712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483.17,,,,,,,,,,0.806388,,,,,,,,,,,,,,,,,,,,,,,,,,
483.179,,,0.00188232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484.17,,,,,,,,,,0.911347,,,,,,,,,,,,,,,,,,,,,,,,,,
484.19,,,0.00116973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485.179,,,,,,,,,,0.950045,,,,,,,,,,,,,,,,,,,,,,,,,,
485.2,,,0.000685301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486.179,,,,,,,,,,0.974604,,,,,,,,,,,,,,,,,,,,,,,,,,
486.2,,,0.000345787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487.17,,,,,,,,,,0.990802,,,,,,,,,,,,,,,,,,,,,,,,,,
487.19,,,0.000228931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488.16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
488.179,,,0.000177352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489.17,,,,,,,,,,0.995117,,,,,,,,,,,,,,,,,,,,,,,,,,
489.19,,,0.000126173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,2.78734e-05,3.64763e-05,,0.00244732,,,,0.00111244,0.000120323,,0.000485954,0.00029838,6.49009e-06,4.77757e-06,2.37969e-06,5.25951e-06,4.26242e-05,2.07314e-05,6.14073e-05,,,,,,,,,,,,,,,,,
490.179,,,,,,,,,,0.938498,,,,,,,,,,,,,,,,,,,,,,,,,,
490.2,,,0.000133828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491.179,,,,,,,,,,0.802791,,,,,,,,,,,,,,,,,,,,,,,,,,
491.19,,,0.000126662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492.17,,,,,,,,,,0.569115,,,,,,,,,,,,,,,,,,,,,,,,,,
492.179,,,0.000125987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493.179,,,,,,,,,,0.276504,,,,,,,,,,,,,,,,,,,,,,,,,,
493.2,,,0.000116314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494.179,,,,,,,,,,0.0748605,,,,,,,,,,,,,,,,,,,,,,,,,,
495.179,,,,,,,,,,0.0144916,,,,,,,,,,,,,,,,,,,,,,,,,,
495.2,,,0.000166573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
