wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
4084.6,,,,,,,,,,,,,,,,,,,,,,,0.98417,,,,,,,,,,,,,
4089.6,,,,,,,,,,,,,,,,,,,,,,,0.97256,,,,,,,,,,,,,
4094.7,,,,,,,,,,,,,,,,,,,,,,,0.90574,,,,,,,,,,,,,
4099.5,,,,,,,,,,,,,,,,,,,,,,,0.75203,,,,,,,,,,,,,
4100,,,,,0.000208,2.92e-06,2.08e-05,,,,,,,,,,,,,0.000383,0.00296,0.00148,,8.92e-05,3.97e-05,0.000358,4.17e-05,3.92e-05,0.000255,0.000184,0.000222,0.00022,7e-05,0.000416,3.77e-05,0.000272
4104.5,,,,,,,,,,,,,,,,,,,,,,,0.52282,,,,,,,,,,,,,
4109.5,,,,,,,,,,,,,,,,,,,,,,,0.30288,,,,,,,,,,,,,
4114.5,,,,,,,,,,,,,,,,,,,,,,,0.17384,,,,,,,,,,,,,
4119.7,,,,,,,,,,,,,,,,,,,,,,,0.10444,,,,,,,,,,,,,
4124.6,,,,,,,,,,,,,,,,,,,,,,,0.06832,,,,,,,,,,,,,
4129.5,,,,,,,,,,,,,,,,,,,,,,,0.04584,,,,,,,,,,,,,
4134.6,,,,,,,,,,,,,,,,,,,,,,,0.03128,,,,,,,,,,,,,
4139.5,,,,,,,,,,,,,,,,,,,,,,,0.021,,,,,,,,,,,,,
4144.6,,,,,,,,,,,,,,,,,,,,,,,0.01373,,,,,,,,,,,,,
4148.3,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
4150,,,,,0.000181,4.22e-05,2.17e-06,,,,,,,,,,,,,0.000199,0.000318,0.000199,0.0206,0.00033,7.04e-05,0.000481,4.3e-05,2.32e-05,8.21e-05,0.000156,8.48e-05,0.00025,0.000202,0.000281,0.000281,0.000246
4200,,,,,0.000156,7.18e-06,4.38e-06,,,,,,,,,,,,,0.000119,3.31e-05,5.64e-05,0.00083,0.000806,0.000251,0.000467,5.78e-05,9.79e-05,3.02e-05,0.000186,0.000373,7.29e-05,0.000188,0.00021,0.000443,7.28e-05
4250,,,,,8.15e-05,4.68e-06,5.72e-06,,,,,,,,,,,,,8.42e-05,5.35e-05,2.3e-05,0.000132,0.00148,0.000687,0.000491,0.000129,4.01e-05,0.000116,3.38e-05,0.00021,0.000147,0.000282,0.000121,0.000478,0.000304
4300,,,,,0.000102,1.31e-06,5.14e-06,,,,,,,,,,,,,6.8e-05,0.000107,1.36e-05,4.37e-05,0.00356,0.00139,0.000468,0.000172,0.000154,0.000109,0.000348,0.000123,0.000116,0.000447,0.000532,6.91e-05,5.54e-05
4348.4,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
4349.5,,,,,,,,,,,,,,,,,,,,,,,,0.01063,,,,,,,,,,,,
