wavelength,Oa01,Oa02,Oa03,Oa04,Oa05,Oa06,Oa07,Oa08,Oa09,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,Oa21
403.3276367,0.9625829458,,,,,,,,,,,,,,,,,,,,
403.3519897,,6.42301714e-08,,,,,,,,,,,,,,,,,,,
403.4456482,0.9656688571,,,,,,,,,,,,,,,,,,,,
403.4460144,,1.249797918e-07,,,,,,,,,,,,,,,,,,,
403.5388184,,2.401171173e-07,,,,,,,,,,,,,,,,,,,
403.5638428,0.9695571661,,,,,,,,,,,,,,,,,,,,
403.6333313,,4.554894701e-07,,,,,,,,,,,,,,,,,,,
403.6820374,0.9736365676,,,,,,,,,,,,,,,,,,,,
403.7273254,,8.53081076e-07,,,,,,,,,,,,,,,,,,,
403.8002319,0.9772182107,,,,,,,,,,,,,,,,,,,,
403.8213501,,1.577389185e-06,,,,,,,,,,,,,,,,,,,
403.9141541,,2.879429985e-06,,,,,,,,,,,,,,,,,,,
403.9185181,0.9797905087,,,,,,,,,,,,,,,,,,,,
404.008728,,5.188846899e-06,,,,,,,,,,,,,,,,,,,
404.0366821,0.981202364,,,,,,,,,,,,,,,,,,,,
404.1027222,,9.23006337e-06,,,,,,,,,,,,,,,,,,,
404.1550903,0.9817143679,,,,,,,,,,,,,,,,,,,,
404.1966553,,1.62063061e-05,,,,,,,,,,,,,,,,,,,
404.2735596,0.9818717837,,,,,,,,,,,,,,,,,,,,
404.2895813,,2.808521276e-05,,,,,,,,,,,,,,,,,,,
404.3840332,,4.803454067e-05,,,,,,,,,,,,,,,,,,,
404.3917847,0.9823752046,,,,,,,,,,,,,,,,,,,,
404.4780273,,8.107331087e-05,,,,,,,,,,,,,,,,,,,
404.5100708,0.9837742448,,,,,,,,,,,,,,,,,,,,
404.572052,,0.0001350250095,,,,,,,,,,,,,,,,,,,
404.6283569,0.9862991571,,,,,,,,,,,,,,,,,,,,
404.6650391,,0.0002218814188,,,,,,,,,,,,,,,,,,,
404.746521,0.9897512794,,,,,,,,,,,,,,,,,,,,
404.7592773,,0.0003597126924,,,,,,,,,,,,,,,,,,,
404.8533325,,0.000575270562,,,,,,,,,,,,,,,,,,,
404.8646851,0.9935683608,,,,,,,,,,,,,,,,,,,,
404.9473572,,0.0009074548143,,,,,,,,,,,,,,,,,,,
404.9826965,0.9969841242,,,,,,,,,,,,,,,,,,,,
405.0404968,,0.001411769656,,,,,,,,,,,,,,,,,,,
405.100647,0.9992483258,,,,,,,,,,,,,,,,,,,,
405.1346741,,0.002165888902,,,,,,,,,,,,,,,,,,,
405.218689,0.99985075,,,,,,,,,,,,,,,,,,,,
405.2286682,,0.003276333213,,,,,,,,,,,,,,,,,,,
405.3227844,,0.004886149894,,,,,,,,,,,,,,,,,,,
405.3367615,0.9985693097,,,,,,,,,,,,,,,,,,,,
405.415802,,0.007183100097,,,,,,,,,,,,,,,,,,,
405.454834,0.9954356551,,,,,,,,,,,,,,,,,,,,
405.5099182,,0.01040801872,,,,,,,,,,,,,,,,,,,
405.5729065,0.99059093,,,,,,,,,,,,,,,,,,,,
405.6040649,,0.01486200653,,,,,,,,,,,,,,,,,,,
405.690979,0.9839541316,,,,,,,,,,,,,,,,,,,,
405.697998,,0.02091138251,,,,,,,,,,,,,,,,,,,
405.7912903,,0.02898842841,,,,,,,,,,,,,,,,,,,
405.809082,0.9750570655,,,,,,,,,,,,,,,,,,,,
