wavelength,Oa01,Oa02,Oa03,Oa04,Oa05,Oa06,Oa07,Oa08,Oa09,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,Oa21
403.3773193,,7.343721791e-06,,,,,,,,,,,,,,,,,,,
403.4712524,,1.152360164e-05,,,,,,,,,,,,,,,,,,,
403.486145,0.976136148,,,,,,,,,,,,,,,,,,,,
403.565155,,1.792707553e-05,,,,,,,,,,,,,,,,,,,
403.604187,0.9788669348,,,,,,,,,,,,,,,,,,,,
403.6581726,,2.76512601e-05,,,,,,,,,,,,,,,,,,,
403.7226257,0.9814220667,,,,,,,,,,,,,,,,,,,,
403.752533,,4.229025581e-05,,,,,,,,,,,,,,,,,,,
403.8410339,0.9836599231,,,,,,,,,,,,,,,,,,,,
403.8466492,,6.413974916e-05,,,,,,,,,,,,,,,,,,,
403.9403076,,9.647589468e-05,,,,,,,,,,,,,,,,,,,
403.9595337,0.9855315089,,,,,,,,,,,,,,,,,,,,
404.0334167,,0.0001439329208,,,,,,,,,,,,,,,,,,,
404.0779419,0.9871142507,,,,,,,,,,,,,,,,,,,,
404.1278687,,0.0002130094945,,,,,,,,,,,,,,,,,,,
404.1960144,0.9885697365,,,,,,,,,,,,,,,,,,,,
404.2218933,,0.0003127375676,,,,,,,,,,,,,,,,,,,
404.314209,0.9900883436,,,,,,,,,,,,,,,,,,,,
404.3154297,,0.000455563335,,,,,,,,,,,,,,,,,,,
404.4086609,,0.0006584819057,,,,,,,,,,,,,,,,,,,
404.432312,0.9917908907,,,,,,,,,,,,,,,,,,,,
404.5029297,,0.0009444887983,,,,,,,,,,,,,,,,,,,
404.5502625,0.9937053919,,,,,,,,,,,,,,,,,,,,
404.597168,,0.001344409189,,,,,,,,,,,,,,,,,,,
404.6685486,0.9956925511,,,,,,,,,,,,,,,,,,,,
404.6906433,,0.001899156952,,,,,,,,,,,,,,,,,,,
404.783783,,0.002662458224,,,,,,,,,,,,,,,,,,,
404.7869568,0.9974912405,,,,,,,,,,,,,,,,,,,,
404.8781738,,0.003704081755,,,,,,,,,,,,,,,,,,,
404.9055481,0.9987307787,,,,,,,,,,,,,,,,,,,,
404.9724426,,0.005113557447,,,,,,,,,,,,,,,,,,,
405.0239258,0.9990437031,,,,,,,,,,,,,,,,,,,,
405.0658569,,0.00700422097,,,,,,,,,,,,,,,,,,,
405.1424255,0.998065114,,,,,,,,,,,,,,,,,,,,
405.1590881,,0.009517524391,,,,,,,,,,,,,,,,,,,
405.253479,,0.01282729208,,,,,,,,,,,,,,,,,,,
405.2609253,0.995469749,,,,,,,,,,,,,,,,,,,,
405.3477173,,0.01714326255,,,,,,,,,,,,,,,,,,,
405.3793335,0.9909827709,,,,,,,,,,,,,,,,,,,,
405.4410095,,0.02271366864,,,,,,,,,,,,,,,,,,,
405.4978943,0.9842410088,,,,,,,,,,,,,,,,,,,,
405.5342712,,0.02982613817,,,,,,,,,,,,,,,,,,,
405.6162109,0.9747950435,,,,,,,,,,,,,,,,,,,,
405.6286926,,0.03880530596,,,,,,,,,,,,,,,,,,,
