wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9
1618,,,,,,0.96843988,,,
1619,,,,,,0.9698503,,,
1620,,,,,,0.97095174,,,
1621,,,,,,0.97284758,,,
1622,,,,,,0.97459286,,,
1623,,,,,,0.97610509,,,
1624,,,,,,0.97767121,,,
1625,,,,,,0.97953802,,,
1626,,,,,,0.98140436,,,
1627,,,,,,0.98274249,,,
1628,,,,,,0.98509848,,,
1629,,,,,,0.98681152,,,
1630,,,,,,0.98781842,,,
1631,,,,,,0.99100113,,,
1632,,,,,,0.99333715,,,
1633,,,,,,0.99528229,,,
1634,,,,,,0.99711514,,,
1635,,,,,,0.99855757,,,
1636,,,,,,1.0,,,
1637,,,,,,0.99876851,,,
1638,,,,,,0.99723363,,,
1639,,,,,,0.9924348,,,
1640,,,,,,0.98559129,,,
1641,,,,,,0.97646844,,,
1642,,,,,,0.96127671,,,
1643,,,,,,0.93863082,,,
1644,,,,,,0.90128821,,,
1645,,,,,,0.86149269,,,
1646,,,,,,0.81432277,,,
1647,,,,,,0.76036841,,,
1648,,,,,,0.70382959,,,
1649,,,,,,0.64186883,,,
1650,,,,,,0.5782938,,,
1651,,,,,,0.5112322,,,
1652,,,,,,0.45091432,,,
1653,,,,,,0.39109415,,,
1654,,,,,,0.33723828,,,
1655,,,,,,0.28662252,,,
1656,,,,,,0.24553978,,,
1657,,,,,,0.20748182,,,
1658,,,,,,0.17609432,,,
1659,,,,,,0.14815453,,,
1660,,,,,,0.12629366,,,
1661,,,,,,0.10593576,,,
1662,,,,,,0.08847605,,,
1663,,,,,,0.07402261,,,
1664,,,,,,0.06265628,,,
1665,,,,,,0.05266043,,,
1666,,,,,,0.04443575,,,
1667,,,,,,0.03732267,,,
1668,,,,,,0.03176107,,,
1669,,,,,,0.02672855,,,
1670,,,,,,0.02271426,,,
1671,,,,,,0.01926102,,,
1672,,,,,,0.01647112,,,
1673,,,,,,0.01399191,,,
1674,,,,,,0.01196509,,,
1675,,,,,,0.01046654,,,
1676,,,,,,0.00944234,,,
1677,,,,,,0.00835179,,,
1678,,,,,,0.00720314,,,
1679,,,,,,0.00619173,,,
1680,,,,,,0.00537047,,,
1681,,,,,,0.00465052,,,
1682,,,,,,0.00405339,,,
1683,,,,,,0.0035255,,,
1684,,,,,,0.00308368,,,
1685,,,,,,0.00269277,,,
1686,,,,,,0.00236559,,,
1687,,,,,,0.00207236,,,
1688,,,,,,0.00182825,,,
1689,,,,,,0.00160853,,,
1690,,,,,,0.00142007,,,
1691,,,,,,0.00126631,,,
1692,,,,,,0.00112938,,,
