wavelength,B1,B2,B3,B4,B5,B6,B7
446,0.0746,0.0,0.0,0.0,0.0,0.0,0.0
447,0.1097,0.0,0.0,0.0,0.0,0.0,0.0
448,0.1564,0.0,0.0,0.0,0.0,0.0,0.0
449,0.2483,0.0,0.0,0.0,0.0,0.0,0.0
450,0.3391,0.0,0.0,0.0,0.0,0.0,0.0
451,0.4058,0.0,0.0,0.0,0.0,0.0,0.0
452,0.4741,0.0,0.0,0.0,0.0,0.0,0.0
453,0.5366,0.0,0.0,0.0,0.0,0.0,0.0
454,0.5856,0.0,0.0,0.0,0.0,0.0,0.0
455,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
456,0.688,0.0,0.0,0.0,0.0,0.0,0.0
457,0.6993,0.0,0.0,0.0,0.0,0.0,0.0
458,0.7095,0.0,0.0,0.0,0.0,0.0,0.0
459,0.7165,0.0,0.0,0.0,0.0,0.0,0.0
460,0.72,0.0,0.0,0.0,0.0,0.0,0.0
461,0.7326,0.0,0.0,0.0,0.0,0.0,0.0
462,0.7475,0.0,0.0,0.0,0.0,0.0,0.0
463,0.7583,0.0,0.0,0.0,0.0,0.0,0.0
464,0.7714,0.0,0.0,0.0,0.0,0.0,0.0
465,0.7847,0.0,0.0,0.0,0.0,0.0,0.0
466,0.7924,0.0,0.0,0.0,0.0,0.0,0.0
467,0.8002,0.0,0.0,0.0,0.0,0.0,0.0
468,0.808,0.0,0.0,0.0,0.0,0.0,0.0
469,0.8156,0.0,0.0,0.0,0.0,0.0,0.0
470,0.8206,0.0,0.0,0.0,0.0,0.0,0.0
471,0.8257,0.0,0.0,0.0,0.0,0.0,0.0
472,0.8308,0.0,0.0,0.0,0.0,0.0,0.0
473,0.8359,0.0,0.0,0.0,0.0,0.0,0.0
474,0.8421,0.0,0.0,0.0,0.0,0.0,0.0
475,0.8526,0.0,0.0,0.0,0.0,0.0,0.0
476,0.8642,0.0,0.0,0.0,0.0,0.0,0.0
477,0.8724,0.0,0.0,0.0,0.0,0.0,0.0
478,0.8824,0.0,0.0,0.0,0.0,0.0,0.0
479,0.8925,0.0,0.0,0.0,0.0,0.0,0.0
480,0.9026,0.0,0.0,0.0,0.0,0.0,0.0
481,0.9069,0.0,0.0,0.0,0.0,0.0,0.0
482,0.9111,0.0,0.0,0.0,0.0,0.0,0.0
483,0.9154,0.0,0.0,0.0,0.0,0.0,0.0
484,0.9196,0.0,0.0,0.0,0.0,0.0,0.0
485,0.9238,0.0,0.0,0.0,0.0,0.0,0.0
