wavelength,B1,B2,B3N,B3B,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
2372.5,,,,,,,,,0.3430,0.9060,,,,,
2375,,,,,,,,,0.2780,0.9270,,,,,
2377.5,,,,,,,,,0.2200,0.8980,,,,,
2380,,,,,,,,0.0022,0.1670,0.9000,,,,,
2382.5,,,,,,,,,,0.9010,,,,,
2385,,,,,,,,,,0.9030,,,,,
2387.5,,,,,,,,,,0.9040,,,,,
2390,,,,,,,,,0.0570,0.9060,,,,,
2392,,,,,0.0000,0.0000,0.0000,0.0001,,,,,,,
2392.5,,,,,,,,,,0.9310,,,,,
2395,,,,,,,,,,0.9270,,,,,
2397.5,,,,,,,,,,0.9220,,,,,
2400,,,,,,,,,0.0200,0.9610,,,,,
2402.5,,,,,,,,,,1.0000,,,,,
2405,,,,,,,,,,0.9800,,,,,
2407.5,,,,,,,,,,0.9590,,,,,
2410,,,,,,,,,0.0120,0.9270,,,,,
2412.5,,,,,,,,,,0.8940,,,,,
2415,,,,,,,,,,0.8690,,,,,
2417.5,,,,,,,,,,0.8330,,,,,
2420,,,,,,,,,0.0080,0.8160,,,,,
2422.5,,,,,,,,,,0.7670,,,,,
2425,,,,,,,,,,0.7020,,,,,
2427.5,,,,,,,,,,0.6610,,,,,
2430,,,,,,,,,0.0040,0.5630,,,,,
2432.5,,,,,,,,,,0.4240,,,,,
2435,,,,,,,,,,0.3430,,,,,
2437.5,,,,,,,,,,0.2610,,,,,
2440,,,,,0.0000,0.0000,0.0000,0.0000,0.0012,0.1920,,,,,
2450,,,,,,,,,,0.0490,,,,,
2460,,,,,,,,,,0.0160,,,,,
2470,,,,,,,,,,0.0080,,,,,
2480,,,,,,,,,,0.0040,,,,,
2488,,,,,0.0000,0.0000,0.0000,0.0000,0.0001,0.0088,,,,,
2536,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,,,,,
2584,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2632,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2680,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2728,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2776,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2824,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2872,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2920,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2968,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3016,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3064,,,,,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,,,,,
3112,,,,,0.0000,0.0000,0.0001,0.0000,0.0001,0.0001,,,,,
3160,,,,,0.0000,0.0000,0.0001,0.0000,0.0001,0.0002,,,,,
3208,,,,,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,,,,,
3256,,,,,0.0000,0.0000,0.0000,0.0000,0.0002,0.0007,,,,,
3304,,,,,0.0000,0.0000,0.0000,0.0000,0.0015,0.0010,,,,,
3352,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3400,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3448,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3496,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3544,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3592,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3640,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3688,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3736,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3784,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3832,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3880,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3928,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
3976,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4024,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4072,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4120,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4168,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4216,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4264,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4312,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4360,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4408,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4456,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4504,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4552,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4600,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4648,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4696,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4744,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4792,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
